Date,Nature Code,Address,Call ID,First In Unit,Call Processing Time,Initial Response,Full Complement,Full Overwhelm?,Partial Overwhelm?,Has Response(s),Remarks,Level 1 Cause,Level 2 Cause,Custom Content,Region,Dispatch Rule,Response Plan,X Coordinate,Y Coordinate,Longitude,Latitude
01/08/2017 09:53:48,324,SERVICE ROAD,2017-002800,E6,0,3.99255,3.99255,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6923894.222,420324.0307,-125.42009,44.7128
01/08/2017 09:55:21,311,EAST 6TH AVENUE,2017-002801,M3,0,5.372283,5.372283,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6933804.071,402529.8895,-125.37791,44.66573
01/08/2017 10:01:41,321,3538 SOUTHEAST HAWTHORNE BOULEVARD,2017-002802,M2,0,4.3035,4.3035,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6940426.957,416701.0472,-125.35577,44.70562
01/08/2017 10:05:16,321,2001 NORTHWEST 6TH STREET,2017-002803,E38,0,2.085383,5.4948,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6935771.003,438550.8194,-125.37872,44.76468
01/08/2017 10:06:06,321,7901 SOUTHEAST DIVISION STREET,2017-002804,E69,0,2.839933,5.3123,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6952261.905,413850.8128,-125.30968,44.69976
01/08/2017 10:14:04,300,8901 KEEAUMOKU STREET,2017-002805,M79,0,1.351383,1.351383,N,N,Y,,EMS,BLS,,Paradise Island,EMS rule,BLS Response,6915367.443,423978.2971,-125.45369,44.72137
01/08/2017 10:17:29,311,4824 SOUTHEAST 65TH AVENUE,2017-002806,M32,0,4.1368,4.1368,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6948261.449,407386.2367,-125.32355,44.6814
01/08/2017 10:19:51,321,4805 NORTHEAST GLISAN STREET,2017-002807,E72,0,2.549933,4.876517,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6944743.894,422246.149,-125.34047,44.72151
01/08/2017 10:22:12,311,UNKNOWN ADDRESS,2017-002808,M39,0,5.473633,5.473633,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6944061.719,417222.8047,-125.34194,44.70765
01/08/2017 10:49:49,321,9702 SOUTHEAST OAK STREET,2017-002809,E7,0,2.7157,5.258233,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6932259.43,420293.2218,-125.38796,44.71411
01/08/2017 10:50:23,745,2201 SOUTHEAST 11TH AVENUE,2017-002810,E73,0,3.251133,3.251133,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6933262.083,415310.5005,-125.38296,44.70063
01/08/2017 10:53:11,611,369 NORTHEAST REVERE AVENUE,2017-002811,E1,0,3.638933,3.638933,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6940673.177,437820.4082,-125.35971,44.76349
01/08/2017 10:53:55,324,SOUTHEAST YAMHILL STREET/SOUTHEAST 86TH AVENUE,2017-002812,E37,0,2.024483,2.024483,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6954217.466,417439.0614,-125.30299,44.7099
01/08/2017 10:54:50,300,5803 GILLASPIE DRIVE,2017-002813,M63,0,4.970883,4.970883,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6929926.182,405867.6142,-125.39356,44.67422
01/08/2017 11:02:44,324,SOUTHEAST 37TH AVENUE/SOUTHEAST 38TH AVENUE,2017-002814,E2,0,4.311267,4.311267,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6940942.675,416167.822,-125.35367,44.70425
01/08/2017 11:04:33,321,1901 BEACH WALK,2017-002815,M79,0,5.050167,5.050167,N,N,Y,,EMS,ALS,,Paradise Island,ALS Rule,ALS Response,6918160.83,420155.277,-125.44207,44.71138
01/08/2017 11:04:40,321,9201 PEARL STREET MALL,2017-002816,E6,0,2.916683,5.50715,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6922281.899,420822.6178,-125.4264,44.71389
01/08/2017 11:04:57,554,3602 SOUTHEAST 28TH PLACE,2017-002817,E44,0,3.576567,3.576567,N,N,Y,,Service,Service N.O.S.,,Atlantis,Catchall Rule,Generic Response,6937956.474,410924.8761,-125.36392,44.6894
01/08/2017 11:06:11,321,5901 ALDER STREET,2017-002818,M3,0,3.81615,3.81615,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6936499.825,398162.703,-125.36656,44.65421
01/08/2017 11:10:06,300,901 BASELINE ROAD,2017-002819,M1,0,5.955233,5.955233,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6931925.139,431821.8531,-125.39193,44.74562
01/08/2017 11:12:43,445,2356-2360 SOUTHEAST DIVISION STREET,2017-002820,E39,0,3.045033,3.045033,N,N,Y,,Hazardous Condition,Hazardous Condition N.O.S.,,Atlantis,Catchall Rule,Generic Response,6936740.352,414187.4228,-125.36934,44.69813
01/08/2017 11:13:45,300,1670 KALAKAUA AVENUE,2017-002821,M79,0,2.066183,2.066183,N,N,Y,,EMS,BLS,,Paradise Island,EMS rule,BLS Response,6916881.084,423649.9531,-125.4478,44.72073
01/08/2017 11:23:05,324,NORTHWEST JACKSONVILLE AVENUE,2017-002822,E38,0,4.450717,4.450717,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6934044,434957.5771,-125.38452,44.75455
01/08/2017 11:25:30,321,1010 PENSACOLA STREET,2017-002823,M79,0,3.782783,3.782783,N,N,Y,,EMS,ALS,,Paradise Island,ALS Rule,ALS Response,6914497.732,425963.8287,-125.4575,44.72666
01/08/2017 11:28:04,735,2701 SOUTHEAST CARUTHERS STREET,2017-002824,E69,0,2.89195,2.89195,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6949026.271,414112.8424,-125.32216,44.69995
01/08/2017 11:29:29,321,4225 NORTHEAST TILLAMOOK STREET,2017-002825,M23,0,3.522333,3.522333,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6943215.654,426177.2653,-125.34725,44.73203
01/08/2017 11:31:15,311,6501 3RD AVENUE NORTHEAST,2017-002826,M12,0,3.968433,3.968433,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6954754.739,430194.5643,-125.30384,44.74492
01/08/2017 11:32:11,321,7701 NORTHEAST DOGWOOD STREET,2017-002827,E12,0,3.513267,5.81535,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6953686.037,430566.571,-125.30803,44.74576
01/08/2017 11:32:50,321,UNKNOWN ADDRESS,2017-002828,E48,0,3.68455,4.764917,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6946497.211,416485.4552,-125.33241,44.70603
01/08/2017 11:33:08,321,334 NORTHWEST NEWPORT AVENUE,2017-002829,E38,0,1.524733,4.921883,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6936287.84,436436.5324,-125.37624,44.75897
01/08/2017 11:35:39,321,221 MAHALANI STREET,2017-002830,E61,0,3.985,5.110867,N,N,Y,,EMS,ALS,,Paradise Island,ALS Rule,ALS Response,6900420.142,429509.7488,-125.51241,44.73399
01/08/2017 11:42:30,321,7401 KAAHUMANU AVENUE,2017-002831,E61,0,1.884833,7.124333,N,N,Y,,EMS,ALS,,Paradise Island,ALS Rule,ALS Response,6901476.938,431041.9325,-125.50872,44.73837
01/08/2017 11:47:11,311,3421 SOUTHEAST SALMON STREET,2017-002832,M2,0,3.910117,3.910117,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6940196.027,417740.7305,-125.3569,44.70843
01/08/2017 11:47:19,311,228 NORTHEAST GREENWOOD AVENUE,2017-002833,M1,0,2.28835,2.28835,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6939944.362,435320.3473,-125.36193,44.75652
01/08/2017 11:48:24,600,1125 SOUTHEAST DIVISION STREET,2017-002834,E73,0,2.536467,2.536467,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6933440.084,414584.3787,-125.3821,44.69867
01/08/2017 11:49:36,321,UNKNOWN ADDRESS,2017-002835,E49,0,2.17685,4.969567,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6943951.418,414999.9524,-125.34185,44.70154
01/08/2017 11:51:53,321,1003 SOUTHEAST BELMONT STREET,2017-002836,E48,0,1.409417,4.692233,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6948120.832,418110.2235,-125.32655,44.71074
01/08/2017 11:54:44,300,5401 NORTHEAST HANCOCK STREET,2017-002837,M23,0,4.253633,4.253633,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6943910.345,425501.8739,-125.34443,44.73029
01/08/2017 12:05:58,311,1035 PEARL STREET,2017-002838,M71,0,5.562567,5.562567,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6921999.764,420770.8767,-125.42747,44.71371
01/08/2017 12:13:59,321,1306 SOUTHEAST 20TH AVENUE,2017-002839,E52,0,4.0993,4.970867,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6935940.527,417534.0896,-125.37319,44.70716
01/08/2017 12:16:08,321,7501 FRONT STREET NORTH,2017-002840,M12,0,3.086067,3.086067,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6953333.859,430292.1229,-125.30932,44.74495
01/08/2017 12:16:44,321,224 NORTHEAST 80TH AVENUE,2017-002841,M18,0,3.073767,3.073767,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6952801.8,420566.9347,-125.30914,44.71823
01/08/2017 12:17:15,113,5001 SOUTHEAST FRANCIS STREET,2017-002842,E32,0,2.99635,2.99635,N,N,Y,,Fire,Other Fire,,Atlantis,Catchall Rule,Generic Response,6945072.634,409908.5632,-125.33637,44.68779
01/08/2017 12:17:40,743,UNKNOWN ADDRESS,2017-002843,E45,0,4.20455,4.20455,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6980923.133,414376.151,-125.19975,44.70582
01/08/2017 12:23:18,324,RENTON ISSAQUAH ROAD SOUTHEAST,2017-002844,E60,0,3.37245,3.37245,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6946614.01,430292.5233,-125.33514,44.74385
01/08/2017 12:23:31,321,KINCAID STREET/EAST 19TH AVENUE,2017-002845,M3,0,4.336567,4.336567,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6936397.005,397208.699,-125.36673,44.65158
01/08/2017 12:27:54,300,1001 EAST 11TH AVENUE,2017-002846,M39,0,5.141533,5.141533,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6937280.773,399929.3771,-125.36397,44.65918
01/08/2017 12:32:00,520,7802 SOUTHEAST 31ST AVENUE,2017-002847,E44,0,2.9997,2.9997,N,N,Y,,Service,Service N.O.S.,,Atlantis,Catchall Rule,Generic Response,6938635.51,410760.3554,-125.36127,44.68906
01/08/2017 12:38:27,311,NORTHEAST 65TH AVENUE/NORTHEAST FLANDERS STREET,2017-002848,M18,0,3.925417,3.925417,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6948698.607,421185.8818,-125.32504,44.71926
01/08/2017 12:38:28,300,1700 29TH STREET,2017-002849,M71,0,4.34025,4.34025,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6929157.577,420212.3255,-125.39986,44.71337
01/08/2017 12:40:05,321,2300 COLORADO AVENUE,2017-002850,E8,0,3.469517,5.647917,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6926305.215,417150.3781,-125.41009,44.70451
01/08/2017 12:45:56,311,8701 NORTHEAST 92ND AVENUE,2017-002851,M19,0,5.544067,5.544067,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6955804.248,420303.5545,-125.29755,44.718
01/08/2017 12:46:33,321,UNKNOWN ADDRESS,2017-002852,M78,0,5.2599,5.2599,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6992693.104,397283.3128,-125.15077,44.66088
01/08/2017 12:46:50,321,2201 WALNUT HOLLOW LANE,2017-002853,M71,0,3.566083,4.5107,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6925651.721,420940.4151,-125.41349,44.71478
01/08/2017 12:47:39,321,1150 SOUTH KING STREET,2017-002854,M79,0,3.472967,3.472967,N,N,Y,,EMS,ALS,,Paradise Island,ALS Rule,ALS Response,6914854.981,425803.7022,-125.45609,44.72629
01/08/2017 12:54:20,321,6063 NORTHEAST GLISAN STREET,2017-002855,E48,0,4.231483,5.43995,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6947755.66,421717.2112,-125.32878,44.72056
01/08/2017 12:55:26,324,SOUTHEAST 82ND AVENUE,2017-002856,E55,0,4.149633,4.149633,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6952955.472,412173.8732,-125.30663,44.69528
01/08/2017 12:56:41,463,235 NORTHEAST LAFAYETTE AVENUE,2017-002857,E1,0,2.67595,2.67595,N,N,Y,,Hazardous Condition,Hazardous Condition N.O.S.,,Atlantis,Catchall Rule,Generic Response,6940023.014,435823.2853,-125.36175,44.75791
01/08/2017 12:56:42,600,3006 SOUTHEAST HAWTHORNE BOULEVARD,2017-002858,E39,0,3.453417,3.453417,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6938681.841,416792.2767,-125.36249,44.70558
01/08/2017 13:04:53,311,1201 SOUTHEAST 92ND AVENUE,2017-002859,M18,0,5.2266,5.2266,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6955715.372,417712.6731,-125.2973,44.71089
01/08/2017 13:06:38,300,6401 KALMIA AVENUE,2017-002860,M71,0,4.577983,4.577983,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6927751.579,427862.9678,-125.40704,44.73408
01/08/2017 13:08:43,311,7301 SOUTHEAST ANKENY STREET,2017-002861,M39,0,5.201433,5.201433,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6938013.67,420557.1092,-125.36593,44.71578
01/08/2017 13:12:03,321,8435 NORTHEAST GLISAN STREET,2017-002862,E37,0,4.435267,5.575183,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6954533.633,421382.2107,-125.30268,44.72075
01/08/2017 13:14:16,321,2305 SOUTHEAST 82ND AVENUE,2017-002863,E69,0,3.336633,3.926033,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6952930.982,413846.8626,-125.30711,44.69986
01/08/2017 13:16:05,300,6031 SOUTHEAST FOSTER ROAD,2017-002864,M32,0,2.140233,2.140233,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6946938.075,408912.138,-125.32898,44.68536
01/08/2017 13:18:49,131,SERVICE ROAD,2017-002865,E17,0,3.92555,3.92555,N,N,Y,,Fire,Vehicle Fire,,Atlantis,Catchall Rule,Generic Response,6934050.237,425231.1515,-125.38223,44.72792
01/08/2017 13:23:10,552,5801 NORTHEAST 45TH AVENUE,2017-002866,E72,0,3.6823,3.6823,N,N,Y,,Service,Service N.O.S.,,Atlantis,Catchall Rule,Generic Response,6943807.873,424746.4648,-125.34464,44.72821
01/08/2017 13:30:21,324,OHEKANI STREET/DAIRY ROAD,2017-002867,E80,0,3.95795,3.95795,N,N,Y,,MVA,MVA N.O.S.,,Paradise Island,Catchall Rule,Generic Response,6909470.578,428516.2863,-125.47741,44.73281
01/08/2017 13:32:39,321,UNKNOWN ADDRESS,2017-002868,M30,0,3.743733,3.743733,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6963881.433,408564.5387,-125.26387,44.68717
01/08/2017 13:47:01,251,1602 SOUTHEAST MORRISON STREET,2017-002869,E37,0,3.387783,3.387783,N,N,Y,,Fire,Explosion,,Atlantis,Catchall Rule,Generic Response,6953034.042,417886.4361,-125.30764,44.71093
01/08/2017 13:52:52,611,203 NORTHEAST KEARNEY AVENUE,2017-002870,E1,0,2.49545,2.49545,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6939894.328,435490.21,-125.36216,44.75698
01/08/2017 14:01:28,154,3155 EAST BURNSIDE STREET,2017-002871,E52,0,3.875533,3.875533,N,N,Y,,Fire,Outdoor Fire,,Atlantis,Catchall Rule,Generic Response,6939564.901,420911.4334,-125.36005,44.71701
01/08/2017 14:01:42,321,3001 NORTHEAST 22ND AVENUE,2017-002872,E17,0,4.769617,4.775267,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6937159.223,426147.6768,-125.37051,44.73095
01/08/2017 14:03:11,311,5602 WEST CENTRAL BOULEVARD,2017-002873,M78,0,2.0088,2.0088,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6994372.758,390873.7439,-125.14291,44.64359
01/08/2017 14:03:46,321,5001 EAST 13TH AVENUE,2017-002874,M3,0,3.186617,3.186617,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6936553.533,399626.3817,-125.36669,44.65823
01/08/2017 14:04:30,322,NORTHWEST SONORA DRIVE/NORTHWEST AWBREY ROAD,2017-002875,E38,0,3.669833,3.669833,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6936532.592,439886.9743,-125.3761,44.76846
01/08/2017 14:08:22,730,6701 FRANKLIN BOULEVARD,2017-002876,E27,0,5.430733,5.430733,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6938285.321,399799.7976,-125.36009,44.65899
01/08/2017 14:17:20,412,SOUTHEAST 47TH AVENUE/SOUTHEAST ELLIS STREET,2017-002877,E76,0,4.919783,4.919783,N,N,Y,,Hazardous Condition,Hazardous Condition N.O.S.,,Atlantis,Catchall Rule,Generic Response,6943246.645,405464.7988,-125.34236,44.67532
01/08/2017 14:20:50,324,T. H. BANFIELD FREEWAY/NORTHEAST SANDY BOULEVARD,2017-002878,E23,0,3.429633,3.429633,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6941434.43,424704.3885,-125.35375,44.7277
01/08/2017 14:20:55,321,6601 SOUTHEAST 25TH AVENUE,2017-002879,M39,0,4.1435,4.1435,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6936748.635,412348.7224,-125.36888,44.6931
01/08/2017 14:22:45,324,SOUTH BERETANIA STREET/MAKIKI STREET,2017-002880,E79,0,3.587583,3.587583,N,N,Y,,MVA,MVA N.O.S.,,Paradise Island,Catchall Rule,Generic Response,6916404.882,425569.524,-125.45008,44.72591
01/08/2017 14:23:41,550,3101 EAST 13TH AVENUE,2017-002881,E3,0,2.0369,2.0369,N,N,Y,,Service,Service N.O.S.,,Atlantis,Catchall Rule,Generic Response,6937857.256,399604.3077,-125.36168,44.65838
01/08/2017 14:28:13,700,1301 15TH STREET,2017-002882,E6,0,4.2088,4.2088,N,N,Y,,Fire,False Alarm,,Paradise Island,Catchall Rule,Generic Response,6923616.228,425249.0452,-125.42231,44.72624
01/08/2017 14:28:20,353,221 MAHALANI STREET,2017-002883,E61,0,3.985,3.985,N,N,Y,,Rescue,Rescue N.O.S.,,Paradise Island,Catchall Rule,Generic Response,6900420.142,429509.7488,-125.51241,44.73399
01/08/2017 14:28:55,611,SOUTHEAST RAMONA STREET/SOUTHEAST 46TH AVENUE,2017-002884,E27,0,2.815867,2.815867,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6942950.246,404959.3792,-125.34338,44.67389
01/08/2017 14:31:47,552,311 NORTHEAST LADDINGTON COURT,2017-002885,E72,0,3.412217,3.412217,N,N,Y,,Service,Service N.O.S.,,Atlantis,Catchall Rule,Generic Response,6941504.248,421607.0536,-125.35277,44.71923
01/08/2017 14:37:49,300,8301 EAST SUNSET WAY,2017-002886,M12,0,3.989967,3.989967,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6953809.823,429207.9188,-125.30725,44.74206
01/08/2017 14:38:05,321,2838 SOUTHEAST 82ND AVENUE,2017-002887,E55,0,4.285867,5.700217,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6953146.345,412277.2524,-125.30592,44.69559
01/08/2017 14:43:08,611,3501 LILLERORE,2017-002888,E81,0,4.06885,4.06885,N,N,Y,,Fire,Good Intent,,Atlantis,Catchall Rule,Generic Response,6967896.61,411771.7317,-125.24918,44.6966
01/08/2017 14:53:39,131,900 NORTH ATLANTIC AVENUE,2017-002889,E77,0,5.44505,5.44505,N,N,Y,,Fire,Vehicle Fire,,Atlantis,Catchall Rule,Generic Response,6994032.126,372238.4943,-125.14011,44.5925
01/08/2017 14:58:11,321,UNKNOWN ADDRESS,2017-002890,E72,0,3.31935,3.4996,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6943987.463,419936.3417,-125.34285,44.71506
01/08/2017 15:02:36,311,369 NORTHEAST REVERE AVENUE,2017-002891,M1,0,3.638933,3.638933,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6940673.177,437820.4082,-125.35971,44.76349
01/08/2017 15:03:21,743,2161 KALIA ROAD,2017-002892,E79,0,5.057667,5.057667,N,N,Y,,Fire,False Alarm,,Paradise Island,Catchall Rule,Generic Response,6917411.001,419375.3914,-125.44476,44.70912
01/08/2017 15:04:05,324,SOUTHWEST KALAPUYA CIRCLE/SOUTHWEST BROOKLANE PLACE,2017-002893,E9,0,4.808333,4.808333,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6951765.994,397669.578,-125.30788,44.65537
01/08/2017 15:17:14,324,15TH STREET,2017-002894,E6,0,3.50655,3.50655,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6923576.749,420861.6266,-125.42144,44.71422
01/08/2017 15:23:43,251,SERVICE ROAD,2017-002895,E7,0,3.8629,3.8629,N,N,Y,,Fire,Explosion,,Atlantis,Catchall Rule,Generic Response,6929809.766,418621.0345,-125.39698,44.70912
01/08/2017 15:27:59,321,5501 LEHIGH STREET,2017-002896,M63,0,3.777467,3.777467,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6926605.754,405490.957,-125.40622,44.67264
01/08/2017 15:29:57,740,4001 LONO AVENUE,2017-002897,E80,0,3.426783,3.426783,N,N,Y,,Fire,False Alarm,,Paradise Island,Catchall Rule,Generic Response,6905659.53,430669.4775,-125.49256,44.73806
01/08/2017 15:37:54,321,SOUTHEAST 8TH AVENUE,2017-002898,E73,0,3.262283,5.090333,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6932499.509,414563.9883,-125.38571,44.69846
01/08/2017 15:38:20,745,8801 MCCUTCHEON ROAD,2017-002899,E13,0,4.661433,4.661433,N,N,Y,,Fire,False Alarm,,Gramsham,Catchall Rule,Generic Response,6937609.36,389026.0862,-125.36019,44.62938
01/08/2017 15:46:51,321,2802 SOUTHEAST 28TH PLACE,2017-002900,E39,0,2.746933,3.119633,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6937884.156,413419.7665,-125.36477,44.69622
01/08/2017 15:47:28,321,6801 I STREET,2017-002901,E42,0,3.583483,5.998667,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6956420.257,404984.6029,-125.29169,44.67616
01/08/2017 15:48:53,321,7701 KALÃ„ÂKAUA AVENUE,2017-002902,E6,0,5.207233,5.513717,N,N,Y,,EMS,ALS,,Paradise Island,ALS Rule,ALS Response,6919075.199,418816.7679,-125.43824,44.70787
01/08/2017 15:48:54,324,SERVICE ROAD,2017-002903,L80,0,3.875983,3.875983,N,N,Y,,MVA,MVA N.O.S.,,Paradise Island,Catchall Rule,Generic Response,6907448.639,431893.0564,-125.48598,44.74171
01/08/2017 15:54:50,300,SOUTHEAST LAFAYETTE STREET/SOUTHEAST MILWAUKIE AVENUE,2017-002904,M39,0,4.164533,4.164533,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6933393.446,411516.2295,-125.38157,44.69026
01/08/2017 15:55:44,321,5001 EAST 13TH AVENUE,2017-002905,M3,0,3.186617,3.186617,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6936553.533,399626.3817,-125.36669,44.65823
01/08/2017 15:57:07,143,1501 NORTHEAST ALAMEDA STREET,2017-002906,E12,0,3.5143,3.5143,N,N,Y,,Fire,Outdoor Fire,,Atlantis,Catchall Rule,Generic Response,6951485.665,427721.4692,-125.31584,44.73761
01/08/2017 16:02:20,611,9801 MAPLETON AVENUE,2017-002907,E6,0,3.094333,3.094333,N,N,Y,,Fire,Good Intent,,Paradise Island,Catchall Rule,Generic Response,6921173.269,421698.1524,-125.43086,44.71611
01/08/2017 16:05:15,735,6601 WEST KAMEHAMEHA AVENUE,2017-002908,E80,0,3.198417,3.198417,N,N,Y,,Fire,False Alarm,,Paradise Island,Catchall Rule,Generic Response,6905412.843,430086.5523,-125.49337,44.73642
01/08/2017 16:09:52,735,9601 NORTHEAST 28TH AVENUE,2017-002909,E52,0,3.331933,3.331933,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6938309.903,421265.7115,-125.36496,44.71777
01/08/2017 16:11:34,552,6301 NORTHWEST WALL STREET,2017-002910,E38,0,4.201517,4.201517,N,N,Y,,Service,Service N.O.S.,,Atlantis,Catchall Rule,Generic Response,6936956.302,434910.1527,-125.37332,44.75491
01/08/2017 16:12:26,321,7701 SOUTHEAST MAIN STREET,2017-002911,L52,0,3.736767,4.825883,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6936542.095,417617.3866,-125.3709,44.70749
01/08/2017 16:14:54,324,RESIDENTIAL ROAD,2017-002912,E22,0,5.064683,5.064683,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6970409.41,423993.1679,-125.24229,44.73047
01/08/2017 16:16:23,321,2610 PEARL STREET,2017-002913,M71,0,3.230817,3.230817,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6927710.351,421729.8555,-125.40577,44.71728
01/08/2017 16:16:32,700,1685 28TH STREET,2017-002914,E7,0,4.882267,4.882267,N,N,Y,,Fire,False Alarm,,Atlantis,Catchall Rule,Generic Response,6927895.012,420088.5614,-125.40467,44.71282
01/08/2017 16:20:36,311,1323 KALAKAUA AVENUE,2017-002915,M79,0,3.6407,3.6407,N,N,Y,,EMS,BLS,,Paradise Island,EMS rule,BLS Response,6916992.213,425070.323,-125.44771,44.72464
01/08/2017 16:24:35,321,3119 SOUTHEAST 12TH AVENUE,2017-002916,E73,0,1.6738,5.083433,N,N,Y,,EMS,ALS,,Atlantis,ALS Rule,ALS Response,6933508.878,412906.7122,-125.38145,44.69409
01/08/2017 16:24:42,324,COLLEGE STREET SOUTH,2017-002917,E30,0,4.875333,4.875333,N,N,Y,,MVA,MVA N.O.S.,,Atlantis,Catchall Rule,Generic Response,6958976.923,412407.3681,-125.28357,44.6969
01/08/2017 16:24:53,300,1831 NORTHEAST THOMPSON STREET,2017-002918,M23,0,4.800733,4.800733,N,N,Y,,EMS,BLS,,Atlantis,EMS rule,BLS Response,6936155.578,427067.1536,-125.37457,44.7333
